Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,AS,ANBA,DPOY,RPOY,SPOY,MIP,MVP
28,2TM,SF,80,17,2087,13.9,0.507,0.292,0.281,4.2,11.7,7.9,13.8,2.7,0.7,12.7,21.6,1,2.1,3.1,0.071,-1.2,0.2,-1,0.5,0,0,0,0,0,0,0
28,MIN,SF,24,16,680,13.8,0.484,0.182,0.347,5.2,10.8,7.9,18.6,4,0.5,16.2,20.1,0,0.4,0.4,0.028,-1.9,1.1,-0.8,0.2,0,0,0,0,0,0,0
28,HOU,SF,56,1,1407,14,0.516,0.334,0.255,3.8,12.1,8,11.5,2.1,0.8,11.2,22.4,1,1.6,2.7,0.091,-0.8,-0.3,-1.1,0.3,0,0,0,0,0,0,0
25,DEN,PF,75,71,2086,18.4,0.548,0.011,0.391,12.1,22.9,17.3,7.1,1.5,2.1,12,20.3,3.5,2.1,5.6,0.13,0.6,-0.7,-0.1,1,0,0,0,0,0,0,0
29,2TM,SG,70,51,2080,13.6,0.538,0.564,0.095,1.7,10.4,6,15.6,2.1,0.8,11,19.3,2.2,1.5,3.7,0.085,0.7,0,0.7,1.5,0,0,0,0,0,0,0
29,NYK,SG,24,6,619,11.5,0.487,0.359,0.155,0.7,10.4,5.4,23.3,1.5,0.5,14.4,23.3,-0.2,0.1,-0.1,-0.008,-0.9,-1.9,-2.8,-0.1,0,0,0,0,0,0,0
29,CLE,SG,46,45,1461,14.5,0.565,0.667,0.065,2.1,10.4,6.3,12.3,2.3,1,9.1,17.6,2.4,1.3,3.8,0.124,1.4,0.8,2.2,1.6,0,0,0,0,0,0,0
31,GSW,SF,77,0,2069,12.3,0.553,0.427,0.23,2.4,10.8,6.7,14.6,2.1,0.9,13.9,13.3,2.3,2.8,5.1,0.117,-0.4,1.4,0.9,1.5,0,0,0,0,0,0,0
29,CHI,C,67,67,2049,15.3,0.482,0.005,0.407,11.9,22.1,17.1,23,1.2,2.6,19.6,13.7,2.4,3.1,5.6,0.13,0.1,2,2.1,2.1,0,0,0,0,0,0,0
25,PHO,PF,81,35,2045,13.7,0.52,0.41,0.148,3.9,16.9,10.3,10.2,1.5,0.6,8.2,19,2.2,1.8,4,0.093,0.1,0,0.1,1.1,0,0,0,0,0,0,0
28,2TM,C,81,80,2045,16.6,0.594,0.011,0.382,11,21.4,16.1,4.3,0.8,3.7,14.9,16.9,3.5,2.2,5.7,0.133,-0.6,-0.1,-0.7,0.7,0,0,0,0,0,0,0
